Name,Address,City,Type,Submitted Amount,Allowed Amount,Medicare Payment Amount
"LANHAM, JACK D",8811 VILLAGE DR ATTN: FAST TRACK,SAN ANTONIO,Nurse Practitioner,22784,6299.2,4642.83
"FOSS, DAVID R",3851 ROGER BROOKE DR ,SAN ANTONIO,Emergency Medicine,31572,5998.92,4636.15
"ELIZALDE, ARACELI",2414 BABCOCK RD SUITE #109,SAN ANTONIO,Allergy/Immunology,7548,5790.38,4632.02
"TRAUTMANN, PAUL A",2020 BABCOCK RD SUITE 12,SAN ANTONIO,Obstetrics/Gynecology,7470,5207.75,4629.91
"THUROW, MARCHELL E",903 W MARTIN ST ,SAN ANTONIO,Physician Assistant,16975,8085.49,4622.74
"VILLANUEVA, GIL R",8715 VILLAGE DR SUITE 410,SAN ANTONIO,Obstetrics/Gynecology,8625,5380.69,4619.38
"EARLEY, SHERI S",9910 HUEBNER RD STE 150,SAN ANTONIO,Chiropractic,9085,6658.86,4613.94
"GRABOW, MARIA T",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,35052,5966.26,4609.72
"NAYAR, SCHEEL",7386 BARLITE BLVD ,SAN ANTONIO,Obstetrics/Gynecology,8580,5970.14,4605.35
"COPADO, VIOLET A",8201 EWING HALSELL DR ,SAN ANTONIO,Nurse Practitioner,18578,6055.49,4602.72
"NIETO, SANDA L",10607 LIBERTY FIELD SUITE 103,SAN ANTONIO,Family Practice,11755,7702.55,4599.62
"YAO, CONGJUN",701 S ZARAMORA ST ,SAN ANTONIO,Family Practice,8840,5928.18,4579.57
"FISHER, DANIELLA",4242 MEDICAL DR SUITE 3100,SAN ANTONIO,Anesthesiology,27373,5714.84,4571.82
"MABRY, LEAH RAYE","333 N. SANTA ROSA CENTER FOR CHILDREN & FAMILIES, 4TH FLOOR",SAN ANTONIO,Family Practice,7344,6333.98,4571.14
"ALVARADO, HILARIO",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,8543,7078.64,4569.26
"SALEEM, SHAMSA",14100 NACOGDOCHES RD SUITE 116,SAN ANTONIO,Family Practice,10158,6794.35,4557.81
"GOURLAS, JASON",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,Physician Assistant,17028,5900.07,4557.77
"VANNOY, JOANNA K",7726 LOUIS PASTEUR DR ,SAN ANTONIO,Nurse Practitioner,10487,6035.6,4553.64
"WAFFUL, JOY L",7870 BROADWAY ST ,SAN ANTONIO,Chiropractic,6015.01,6015.01,4545.57
"EBY, STEVEN P",414 NAVARRO ST ,SAN ANTONIO,CRNA,44688,5652.91,4522.29
WALGREEN CO,7103 MARBACH RD ,SAN ANTONIO,Mass Immunization Roster Biller,4535.32,4518.66,4518.66
"JACOBS, CLAIRE E",14607 SAN PEDRO SUITE 295,SAN ANTONIO,Clinical Psychologist,15150,8162.31,4513.96
WALGREEN CO,11103 W MILITARY DR ,SAN ANTONIO,Mass Immunization Roster Biller,4503,4503,4503
"RUIZ, GUILLERMO W",17418 CANYON HOLW ,SAN ANTONIO,Audiologist (billing independently),10985,6410.4,4487.91
"SERTICH, CHRISTOPHER M",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,32892,5604.37,4483.49
"KING, PHOEBE C",4502 MEDICAL DR ,SAN ANTONIO,Internal Medicine,11266,5600.18,4480.4
"CRUTCHLEY, TERESA A",6800 W IH 10 SUITE 130,SAN ANTONIO,Vascular Surgery,14555,5576.83,4461.4
"KANZ, BRIAN N",11212 STATE HIGHWAY 151 MEDICAL PLAZA II SUITE 250,SAN ANTONIO,Orthopedic Surgery,9124,5855.8,4454.21
"GREEMAN, KEVIN W",249 E HILDEBRAND AVE ,SAN ANTONIO,Optometry,6436,6209.22,4445.59
"BOWLES, ALFRED P",5711 UNIVERSITY HTS SUITE 100,SAN ANTONIO,Emergency Medicine,16132,5683.99,4443.83
"TERRERI, ANTHONY",21810 ROAN BLF ,SAN ANTONIO,Diagnostic Radiology,27924.17,5962.3,4435.05
"CRUZ, ANATOLIO",7979 WURZBACH RD ,SAN ANTONIO,Colorectal Surgery (formerly proctology),12053,6020.01,4432.36
"ONYENEKWU, NKEIRUKA N",4502 MEDICAL DR ,SAN ANTONIO,Emergency Medicine,11368,5667.48,4423.44
"PACHECO, CECELIA",7500 BARLITE BLVD SUITE 400,SAN ANTONIO,Family Practice,9058,6417.06,4422.5
"MAREDIA, NAZIA N",1430 AUSTIN HWY ,SAN ANTONIO,Optometry,7126,6775.9,4413.39
"JONES, LILLIAN M",7922 EWING HALSELL DR STE 420,SAN ANTONIO,Obstetrics/Gynecology,9916.58,5233.06,4406.9
"MELENDEZ, DONNA L",11212 HWY 151 STE 100 ,SAN ANTONIO,Family Practice,14891,7434.75,4405.84
"LEE, WASHINGTON T",1730 SW MILITARY DR STE 206,SAN ANTONIO,Ophthalmology,6375,5947.8,4403.19
"CORTEZ, MARIA D",8300 FLOYD CURL DR 3RD FLOOR -3B,SAN ANTONIO,Cardiology,12237,5559.65,4396.21
"DAY, RANDALL W",4242 MEDICAL DR SUITE 3100,SAN ANTONIO,Anesthesiology,26800,5465.17,4345.04
"VAN SICKLE, KENT",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,General Surgery,11532,5757.19,4327.27
"WHITTAKER, RUSSELL",7703 FLOYD CURL DR ,SAN ANTONIO,Physician Assistant,18773,5443.28,4304.54
"TINGLE, LINDA J",4242 MEDICAL DR STE 3100 ,SAN ANTONIO,Anesthesiology,21555,4503.83,4302.97
"HEDGES, PARKE J",7711 LOUIS PASTEUR #200,SAN ANTONIO,Obstetrics/Gynecology,6536,5131.04,4299.72
"BRENZ, RONALD W",8038 WURZBACH RD STE 234,SAN ANTONIO,Psychiatry,11440,7290.12,4290.92
WALGREEN CO,6017 INGRAM RD ,SAN ANTONIO,Mass Immunization Roster Biller,4271.14,4271.14,4271.14
"ANDERSON, NORMA J",5372 FREDERICKSBURG RD SUITE 129,SAN ANTONIO,Psychiatry,12915,6900.3,4252.44
HEB GROCERY COMPANY LP,11650 BANDERA RD ,SAN ANTONIO,Mass Immunization Roster Biller,4244.78,4244.64,4244.64
"SILVA, JAMES",7042 BANDERA RD ,SAN ANTONIO,Chiropractic,6717.9,5679.1,4244.42
"GUERRERO, SANDRA",4243 E SOUTHCROSS BLVD SAN ANTONIO,SAN ANTONIO,Family Practice,9109,6133.45,4231.08
"RAJAJOSHIWALA, PARESH K",8030 WURZBACH ROAD SUITE 650B,SAN ANTONIO,General Surgery,36839,5605.37,4228.41
"SAENGER, DOROTHEA R",4499 MEDICAL DRIVE SUITE 191,SAN ANTONIO,Obstetrics/Gynecology,13810,4824.34,4217.98
"HAMPTON, ROBERT W",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,7143,6139.83,4206.41
"METERSKY, JOHN B",7950 FLOYD CURL DR SUITE 810,SAN ANTONIO,General Surgery,8178.78,6056.97,4195
"BANKS, KEVIN P",27359 SMITHSON VALLEY RD ,SAN ANTONIO,Diagnostic Radiology,24532.08,5475.13,4193.06
WALGREEN CO,410 W CYPRESS ST ,SAN ANTONIO,Mass Immunization Roster Biller,4190.88,4190.88,4190.88
"MILLWATER, JOAN",21 SPURS LN STE 320 ,SAN ANTONIO,Occupational therapist,12130,5709.36,4169.7
"PERRY, JOHN W",4242 MEDICAL DR SUITE 6300,SAN ANTONIO,Clinical Psychologist,12240,8282.55,4160.96
"MANN ZEBALLOS, MARGARET M",527 N LEONA ST ,SAN ANTONIO,Family Practice,16698,5978.6,4151.17
"ANZ-CAVAZOS, MONICA",8811 VILLAGE DR SUITE 300,SAN ANTONIO,Internal Medicine,7760,5511.95,4135.08
"BRAMBLETT, JAMES W",2397 NW MILITARY HWY SUITE D,SAN ANTONIO,Chiropractic,8565,5222.02,4125.89
"SATTERFIELD, TIFFANY M",7711 LOUIS PASTEUR STE 200 ,SAN ANTONIO,Obstetrics/Gynecology,6688,5183.74,4121.74
"CAMPOS, JUAN I",16019 VIA SHAVANO ,SAN ANTONIO,Psychiatry,16600,5144.02,4115.04
"PREVOST, COURTNEY N",211 ADAMS ST ,SAN ANTONIO,Licensed Clinical Social Worker,16375,7589.22,4095.51
"CRITTENDEN, KIMBERLY N",1200 BROOKLYN AVE SUITE 220,SAN ANTONIO,Obstetrics/Gynecology,7095,5203.75,4084.11
"SANCHEZ-REILLY, SANDRA E",7979 WURZBACH RD U244,SAN ANTONIO,Geriatric Medicine,10761,5338.93,4073.36
"GOODWILER, GREGORY G",4502 MEDICAL DR ,SAN ANTONIO,Physician Assistant,12288,5090.66,4072.35
"FIELDEN, RONALD D",1205 N LOOP 1604 W STE. 211,SAN ANTONIO,Chiropractic,6513.81,5792.44,4064.73
"TAYLOR, KEITH A",6207 PECAN VALLEY DR ,SAN ANTONIO,Chiropractic,10292,5653.96,4055.36
"GLEINSER, DAVID M",4775 HAMILTON WOLFE RD STE 1 ,SAN ANTONIO,Otolaryngology,11230,5271.36,4047.23
"CARON, JEAN-LOUIS",4647 MEDICAL DR ,SAN ANTONIO,Neurosurgery,13818,5189.36,4041.1
"GEORGE, DINAH S",7726 LOUIS PASTEUR DR # MS 7-1 ,SAN ANTONIO,Family Practice,9466,6314.9,4035.39
"TURNER, JOYCE E",3066 E COMMERCE ST ,SAN ANTONIO,Nurse Practitioner,5958.94,5065.14,4020.33
"WYNNE, SUSAN K",16007 VIA SHAVANO SUITE 101,SAN ANTONIO,Psychiatry,8200.29,7000.84,4012.98
"SHIBUYA, NAOHIRO",7703 FLOYD CURL DR ,SAN ANTONIO,Podiatry,16166,5528.04,4001.95
"CYR, STEVEN J",21 SPURS LANE SUITE 245,SAN ANTONIO,Osteopathic Manipulative Medicine,22921.19,6604.76,4001.71
"DEJESUS, JOSE E",7614 CULEBRA RD SUITE 103,SAN ANTONIO,Family Practice,8519,5950.34,4000.65
"WALL, FLORENCE",7703 FLOYD CURL DR ,SAN ANTONIO,Physician Assistant,18064,5777.74,3995.34
HEB GROCERY COMPANY LP,1520 AUSTIN HWY ,SAN ANTONIO,Mass Immunization Roster Biller,3990.43,3990.08,3990.08
"MARTINEZ, RAUL S",14100 NACOGDOCHES RD SUITE 116,SAN ANTONIO,Family Practice,7341,4930.72,3972.83
"BALL-SCOVEL, LESLEE I",415 EMBASSY OAKS STE 200,SAN ANTONIO,Internal Medicine,7884,5639.15,3951.99
"QUINONES, MARLON P",7526 LOUIS PASTEUR DR ,SAN ANTONIO,Psychiatry,12316,5233.29,3942.07
"CARDELL, DEBORAH L",527 N LEONA ST ,SAN ANTONIO,Internal Medicine,22862,8249.04,3936.87
"ELIZONDO, ROY J",8257 FREDERICKSBURG RD ,SAN ANTONIO,Obstetrics/Gynecology,5855.4,5811.56,3935.74
"GARZA, DELFINO R",4502 MEDICAL DR ,SAN ANTONIO,General Surgery,9907,4906.45,3925.16
"FERENCZI, IUDIT M",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,7354,6302.71,3922.4
"LECHTENBERG, ERIK W",5441 BABCOCK RD SUITE 103,SAN ANTONIO,Physical Therapist,11730,4942.09,3917.97
"WILSON, GARY",3030 NACOGDOCHES RD SUITE 101,SAN ANTONIO,Psychiatry,12160,5539.62,3906.28
"BOUVIER, STEPHANIE A",45 NE LOOP 410 SUITE #900,SAN ANTONIO,Anesthesiology,30000,4856.69,3885.35
HEB GROCERY COMPANY LP,7951 GUILBEAU RD ,SAN ANTONIO,Mass Immunization Roster Biller,3875.62,3875.62,3875.62
"PIERSON, KENNETH R",15677 SAN PEDRO B,SAN ANTONIO,Optometry,6125,6057.29,3872.29
"LOPEZ, ANGELINA S",1102 BARCLAY ,SAN ANTONIO,Licensed Clinical Social Worker,13923,6452.25,3868.37
"ELIZONDO, JOSEPH S",13722 EMBASSY ROW ,SAN ANTONIO,Pediatric Medicine,6553,5613.7,3835.59
"IRWIN, KIMBERLY C",4499 MEDICAL DR STE 261,SAN ANTONIO,Pediatric Medicine,9900,4862.88,3832.2
"PEEPLES, AMY B",7272 WURZBACH RD SUITE 601,SAN ANTONIO,Licensed Clinical Social Worker,14050,6382.03,3829.35
"AWAGU, NNENNA",912 TREATY OAK ,SAN ANTONIO,CRNA,29520,4783.57,3826.86
"MARKEY, KEITH L",540 MADISON OAK 210,SAN ANTONIO,Orthopedic Surgery,19800,3999.96,3822.2
"CVS PHARMACY, INC.",120 E SONTERRA BLVD ,SAN ANTONIO,Mass Immunization Roster Biller,3820.98,3818.46,3818.46
"ZUELZER, MARGOT B",14800 SAN PEDRO AVE STE 110 ,SAN ANTONIO,Clinical Psychologist,13120,6659.7,3814.99
"TRAMMELL VELASQUEZ, SADIE A",4502 MEDICAL DR ,SAN ANTONIO,Internal Medicine,9713,4833.85,3813.52
"SCAVONE, MICHAEL J",3031 IH 10 W ,SAN ANTONIO,Psychiatry,14147,6005.82,3806.17
"MUNOZ, JEFFREY J",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,7846,6589.79,3804.99
"GOURLEY, COURTNEY M",333 N. SANTA ROSA STREET ,SAN ANTONIO,Physician Assistant,43305,4997.17,3799.2
"BERKOWITZ, ANGELIA C",215 E QUINCY ST STE 314 ,SAN ANTONIO,Nurse Practitioner,11371,4817.66,3797.48
"PUCKETT, JANET D",4242 MEDICAL DR STE 3100 ,SAN ANTONIO,Anesthesiology,22580,4712.12,3769.69
"CORNFORTH, KATHERINE E",7950 FLOYD CURL DR SUITE 600,SAN ANTONIO,Obstetrics/Gynecology,7105,4443.33,3768.69
"LOZANO, ROBERT F",415 EMBASSY OAKS DR SUITE 202,SAN ANTONIO,Physical Therapist,10703,4985.64,3754.05
WALGREEN CO,13619 BABCOCK RD ,SAN ANTONIO,Mass Immunization Roster Biller,3753.13,3753.13,3753.13
"TREVINO, ROBERT P",740 SOUTH ALAMO ,SAN ANTONIO,Internal Medicine,4650,3752.55,3752.55
"MEDINA, GILBERT A",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,27180,4685.48,3748.39
"BERGGREN, RUTH E",7703 FLOYD CURL DR UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER SAN ANTONIO,SAN ANTONIO,Infectious Disease,12920,5530.46,3746.59
"RINI, MARY A",7909 PAT BOOKER RD ,LIVE OAK,Occupational therapist,10440,4786.08,3743.98
"DAVIS, DAVID F",4242 MEDICAL DR SUITE 3100,SAN ANTONIO,Anesthesiology,17928,3740.67,3740.67
"RIVERA, SUSAN Y",700 S ZARZAMORA ST SUITE 209,SAN ANTONIO,Obstetrics/Gynecology,8464.42,4931.09,3737.67
"BARRELLA, AMANDA L",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,27144,4669.53,3735.62
"HUFF, ROBERT W","7703 FLOYD CURL DRIVE, RM 433D UNIVERSITY OF TEXAS HSC, DEPT OF OB/GYN",SAN ANTONIO,Obstetrics/Gynecology,15120,5022.36,3731.89
"MULLEN, SHERRY",4242 MEDICAL DR SUITE 1150,SAN ANTONIO,Licensed Clinical Social Worker,17920,6209.89,3727.01
"ROSS, MARIANNE M",10615 PERRIN BEITEL RD 702,SAN ANTONIO,Licensed Clinical Social Worker,13910,6491.77,3715.2
"SCHLATHER, KRISTEN L",7703 FLOYD CURL DR # MC7977,SAN ANTONIO,Physician Assistant,11716,4667.71,3700.1
"MUNOZ, RICARDO",414 NAVARRO ST STE 1200,SAN ANTONIO,Obstetrics/Gynecology,5135,4206.74,3698.24
"BURKE, CHERYL L",1055 ADA ST ,SAN ANTONIO,Licensed Clinical Social Worker,13136,6197.49,3693.19
"HAFF, RODERICK C",15135 DELACHAISE ST ,SAN ANTONIO,General Surgery,43511.8,4607.91,3686.32
"GARZA, JOSEPH A",12602 TOEPPERWEIN RD SUITE 201,LIVE OAK,Obstetrics/Gynecology,7345,4766.65,3678.57
"SHANNON, KELLY",102 E MULBERRY AVE ,SAN ANTONIO,Clinical Psychologist,10600,5661.32,3678.32
"FINNEY, NANCY R",7711 LOUIS PASTEUR DR SUITE 100,SAN ANTONIO,Obstetrics/Gynecology,5635,4230.11,3675.32
"FAULK, DEAN MCKENZIE",2711 PALO ALTO RD ,SAN ANTONIO,Psychiatry,8295,5890.5,3671.94
"GURWITZ, LISA B",4499 MEDICAL DR SUITE 119,SAN ANTONIO,Obstetrics/Gynecology,5553,4567.02,3670.93
"NIERENBERG, NATALIE E",4502 MEDICAL DR ,SAN ANTONIO,Infectious Disease,13068,4579.84,3663.96
"EICKHOFF, ROBIN",7622 LOUIS PASTEUR DR ,SAN ANTONIO,Family Practice,9365,6267.19,3657.56
HEB GROCERY COMPANY LP,3323 SE MILITARY DR ,SAN ANTONIO,Mass Immunization Roster Biller,3647.2,3647.2,3647.2
"CANTU, MICHELLE L",16007 VIA SHAVANO STE. 102,SAN ANTONIO,Psychiatry,15900,7054.46,3642.99
"KAHANEK, NATALIE R",4502 MEDICAL DR ,SAN ANTONIO,Anesthesiology,21115,4566.17,3637.47
"GOYT, CHRIS",1703 N LOOP 1604 W #13108,SAN ANTONIO,CRNA,19800,4541.38,3633.11
"PATEL, POOJA D",903 W MARTIN ST ,SAN ANTONIO,Nurse Practitioner,8923,5062.14,3607.58
CVS PHARMACY INC,14900 JONES MALTSBERGER RD ,SAN ANTONIO,Mass Immunization Roster Biller,3606.96,3606.96,3606.96
"GARCIA-HOLGUIN, MARY H",12050 VANCE JACKSON BLDG 2 STE 201,SAN ANTONIO,Psychiatry,9080,4888.7,3605.82
"REILLY, ANGELA",4502 MEDICAL DR ,SAN ANTONIO,Nurse Practitioner,9114,5191.69,3590.23
"BURNETT, TYLER J",7979 WURZBACH RD ,SAN ANTONIO,Licensed Clinical Social Worker,16275,6377.55,3586.02
"CHAUDHURI, JAYANTA K",4400 PIESDRAS SOUTH STE 200,SAN ANTONIO,Diagnostic Radiology,13645,4581.75,3573.62
"PITTS, SUZANNE",4242 MEDICAL DR STE 3100 ,SAN ANTONIO,Anesthesiology,18607,3885.77,3570.9
"TEEL, JULIE L",2121 SW 36TH ST # MS 63-2 ,SAN ANTONIO,Nurse Practitioner,11817,6638.82,3564.74
"RIOS, RUBEN",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,26160,4447.45,3557.96
"LOVINGS, SANDRA K","903 W MARTIN, # MS 9-2 ",SAN ANTONIO,Nurse Practitioner,6297,3556.4,3556.4
"CALDERON, DANIEL A",1303 MCCULLOUGH AVE SUITE GL70,SAN ANTONIO,Obstetrics/Gynecology,7865,4041.37,3549.6
"KECK, ELIA",16620 N US HIGHWAY 281 STE 300,SAN ANTONIO,Nurse Practitioner,6509,4418.99,3535.1
"RAMOS, GERARDO J",1831 S GENERAL MC MULLEN ,SAN ANTONIO,Family Practice,8429,5650.7,3534.82
"BILICA, PAULA",3903 WISEMAN BLVD SUITE 200,SAN ANTONIO,Obstetrics/Gynecology,7598,3761.54,3534.07
"VILLA-OLVERA, MICHELLE",502 MADISON OAK DR SUITE 440,SAN ANTONIO,Obstetrics/Gynecology,6008,4320.25,3529.83
"KING, ELIZABETH A",502 MADISON OAK DR SUITE 240,SAN ANTONIO,Obstetrics/Gynecology,7341,4270.45,3516.01
"BARTANUSZ, VIKTOR",4502 MEDICAL DR ,SAN ANTONIO,Neurosurgery,9995,4469.76,3513.76
"HENDLEY, MATTHEW A","333 N SANTA ROSA CENTER FOR CHILDREN & FAMILIES, 4TH FLOOR",SAN ANTONIO,Family Practice,7041.9,4686.27,3509.88
AMERICAN DYNAMIC IMAGING LTD,9627 HUEBNER RD. SUITE 100,SAN ANTONIO,Independent Diagnostic Testing Facility,24000,4548.48,3500.4
"MYERS, JOHN",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,General Surgery,9972,4354.9,3483.99
"STELZER, MICHAEL M",615 NW LOOP 410 SUITE 150,SAN ANTONIO,Chiropractic,7980,4768.4,3481.98
"MOORE, GARRY S",12702 TOEPPERWEIN RD STE 104,LIVE OAK,Preventive Medicine,6620,5626.9,3479.42
"GOLDEN, PAULA S",720 PLEASANTON RD ,SAN ANTONIO,Nurse Practitioner,13638.53,4617.37,3463.5
"CARVALHO, CLARISSA V",2121 SW 36TH ST # MS 63-2 ,SAN ANTONIO,Nurse Practitioner,9500,5403.6,3460.95
"TRIANA, MARIA ISABEL",12227 HUEBNER RD SUITE 110,SAN ANTONIO,Ophthalmology,9200,4493.98,3460.1
"HERNANDEZ, ERNESTO",343 W HOUSTON SUITE 312,SAN ANTONIO,Obstetrics/Gynecology,6196,5101.61,3454.55
"RINN, ODVILLE A",4402 VANCE JACKSON #250,SAN ANTONIO,Family Practice,4755,4732.51,3452.56
"CASILLAS, ERIC S",1327 SW MILITARY DR ,SAN ANTONIO,Optometry,7553,4375.94,3451.48
"VILLAFANA, RICARDO D",4243 E SOUTHCROSS BLVD SUITE 205,SAN ANTONIO,Family Practice,7349,4962.58,3443.77
"LAVIN, DIANNE S",7703 FLOYD CURL DRIVE UNIVERSITY OF TEXAS HSC SCHOOL OF NURSING,SAN ANTONIO,Nurse Practitioner,15196,6033.74,3424.23
"WILSON, LAURA C",7703 FLOYD CURL DR. UTHSCSA,SAN ANTONIO,CRNA,38505,4670.93,3396.4
"WILSON, JANE M",16620 N US HIGHWAY 281 SUITE 300,SAN ANTONIO,Nurse Practitioner,7750,4237.52,3389.9
"TSCHOEPE-WHITE, LEAHGAIL",3903 WISEMAN BLVD SUITE 215,SAN ANTONIO,Physician Assistant,17665,9380.9,3385.77
"MCGEARY, DONALD D",7703 FLOYD CURL DR ,SAN ANTONIO,Clinical Psychologist,9400,4970.18,3373.64
"GALLINGER, KENNETH D",4025 E SOUTHCROSS BLVD BLD.#5 STE.#26,SAN ANTONIO,Optometry,4670,4315.86,3364.65
"BLOOM, MERVYN P",1939 NE LOOP 410 #200,SAN ANTONIO,Optometry,5160,4866.31,3349.65
"DUAN, MICHAEL",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,24300,4183.1,3346.48
"LOFFREDO, ALEXANDRA",527 N LEONA ST ,SAN ANTONIO,Family Practice,13936,4989.92,3343.99
HEB GROCERY COMPANY LP,10660 W FM 471 ,SAN ANTONIO,Mass Immunization Roster Biller,3338.67,3338.67,3338.67
"ADAME, THERESA J",3875 E SOUTHCROSS BLVD STE.B,SAN ANTONIO,Physical Therapist,8215,4167.44,3334.03
"SPENCE, LAWRENCE R",13722 EMBASY ROW TEXAS MED CLINIC,SAN ANTONIO,Family Practice,5745,5013.42,3332.06
"MORGAN, SYBIL R",8038 WURZBACH RD. SUITE 280,SAN ANTONIO,Family Practice,8400,7950,3330.94
"WAFFUL, ROBERT A",7870 BROADWAY ST ,SAN ANTONIO,Chiropractic,4988.8,4988.8,3329.39
"NORGARD, MICHAEL J",226 ROSEHEART ,SAN ANTONIO,Medical Oncology,5926.05,4151.95,3325.28
"EDGIN, WENDELL A",4499 MEDICAL DR SUITE 190,SAN ANTONIO,Maxillofacial Surgery,10820,4621.72,3324.93
"RAIMONDO, BRIAN R",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,6430,5430.95,3312.51
"CVS PHARMACY, INC",22135 IH-10 W ,SAN ANTONIO,Mass Immunization Roster Biller,3308.97,3305.19,3305.19
"BOWDEN, CHARLES",7703 FLOYD CURL DR ,SAN ANTONIO,Psychiatry,12045,7100.59,3304.34
"DAVISS, WILLIAM B",7703 FLOYD CURL DR ,SAN ANTONIO,Psychiatry,13250,4129.93,3303.78
"CHEN, HENRY",343 W HOUSTON ST SUITE 204,SAN ANTONIO,Obstetrics/Gynecology,10196,4420.44,3301.84
"BRASWELL, LEZLI A",13409 GEORGE RD ,SAN ANTONIO,Family Practice,28334,6124.42,3298.42
"OXFORD, DIANA L",4242 MEDICAL DR STE 3100 ,SAN ANTONIO,Anesthesiology,20413,4121.12,3296.95
HEB GROCERY COMPANY LP,18140 SAN PEDRO ,SAN ANTONIO,Mass Immunization Roster Biller,3294,3294,3294
"TOHEN, MAURICIO",7703 FLOYD CURL DR ,SAN ANTONIO,Psychiatry,9470,4706.37,3282.21
"HOBBINS, DOUGLAS",311 BREES BLVD ,SAN ANTONIO,CRNA,20736,4100.16,3280.15
"CROSS, MATTHEW",410 E WILDWOOD DR ,SAN ANTONIO,Emergency Medicine,38375,4092,3273.5
"FIKAC, LEANN B",18518 HARDY OAK BLVD SUITE 300,SAN ANTONIO,Physician Assistant,15025,4161.8,3270.15
"OZAN, AYDIN",4243 E SOUTHCROSS SUITE 205,SAN ANTONIO,Internal Medicine,7009,4724.4,3258.06
"LEVI, DEBORAH S",2727 TREBLE CRK APT 1221 ,SAN ANTONIO,Licensed Clinical Social Worker,21900,5891.57,3257.1
"MAMIDI, MURALI",4242 MEDICAL DR SUITE 3100,SAN ANTONIO,Anesthesiology,23287,4184.4,3244.52
"PFLIPSEN, RYAN M",527 N LEONA ST ,SAN ANTONIO,Licensed Clinical Social Worker,10746,5091.22,3241.74
"GONZALEZ, MICHELLE L",7703 FLOYD CURL DR ,SAN ANTONIO,CRNA,36005,4049.48,3239.6
"WILLIAMS, HEATHER R",525 OAK CENTRE DR STE 320 ,SAN ANTONIO,Obstetrics/Gynecology,4275,3443.6,3227.82
"RAMIREZ, ARMANDO",4242 E SOUTHCROSS BLVD SUITE 1,SAN ANTONIO,General Surgery,18577.68,4026.29,3221.02
"MYERS, DEBORAH A",203 GREENLAWN DR ,SAN ANTONIO,Physical Therapist,13069,4023.63,3219
"JOHNSON, J.E.B.",424 HONEY OAKS ,SAN ANTONIO,Family Practice,5369,4526.37,3216.02
WALGREEN CO,121 N ZARZAMORA ST ,SAN ANTONIO,Mass Immunization Roster Biller,3199,3199,3199
"SCOTT, JEFFREY L",720 PLEASANTON RD ,SAN ANTONIO,Physician Assistant,14736.54,4247.35,3190.8
"WOYWOOD, ROGER B",12315 JUDSON RD STE 108 ,LIVE OAK,Chiropractic,6149,4189.38,3180.73
"FROMEL, STEPHEN A",4330 MEDICAL DR ,SAN ANTONIO,Physician Assistant,24203.3,3897.96,3169.13
"ZALDIVAR, MARY A",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,5826,4952.99,3165.24
"HARRIS, WILLIAM R",6711 S NEW BRAUNFELS AVE STE 100 ,SAN ANTONIO,Psychiatry,4035.4,4028.88,3164.28
"SHARMA, PUJA",2121 SW 36TH ST ,SAN ANTONIO,Family Practice,6156,4127.39,3160.98
HEB GROCERY COMPANY LP,20935 US HIGHWAY 281 N ,SAN ANTONIO,Mass Immunization Roster Biller,3159,3159,3159
"GUERRERO, JORGE A",7700 FLOYD CURL DR ,SAN ANTONIO,Anesthesiology,23172,3935.89,3148.7
"BOTELLO, PATRICIA",4502 MEDICAL DR ,SAN ANTONIO,Nurse Practitioner,9973,3913.57,3129.18
"PEREZ, CRISTOBAL",7703 FLOYD CURL DR ,SAN ANTONIO,Physician Assistant,9260,3909.06,3127.17
"GARVER, RICHARD B",24123 BOERNE STAGE RD SUITE 430,SAN ANTONIO,Clinical Psychologist,19800,5201.34,3120.92
"RODRIGUEZ, MELINDA A",1314 E. SONTERRA BLVD. SUITE 601,SAN ANTONIO,Physical Therapist,8325.7,3899.72,3119.91
"DAWSON, MICHAEL A",19260 STONE OAK PKWY SUITE 107,SAN ANTONIO,Physical Therapist,6650,3897.77,3118.5
"FERRER, ROBERT",527 N LEONA ST ,SAN ANTONIO,Family Practice,14151,5108.09,3105.74
"KOCUREK, KRISTEN A",13722 EMBASSY ROW ,SAN ANTONIO,Family Practice,5539,4832.07,3104.67
"NOOSHIN, NEGIN",10910 IDABEL PARK ,SAN ANTONIO,Optometry,6661,5467.98,3103.72
"DUDYCHA, JUSTIN D",8228 BANDERA RD ,SAN ANTONIO,Chiropractic,5408,4526.08,3100.04
